HOSPITAL_ID,OWNER_ID,NAME,ADDRESS,DETAIL_ADDRESS,PHONE,LATITUDE,LONGITUDE,OPEN_TIME,CLOSE_TIME,STATUS,DESCRIPTION,IMAGE_URL,CREATED_AT,UPDATED_AT,WEBSITE_URL,DISTRICT,STATUS_CODE,OPERATION_STATUS_TEXT,DATA_UPDATED_AT,LAST_MODIFIED_AT,BREAK_TIME,CLOSED_DAYS,MEDICAL_SUBJECTS,DOCTOR_INFO,OWNER_NAME,SOURCE_URL,CHECKED_AT,NOTE,COLUMN1
11,,늘동물의료센터,서울특별시 강동구 상일로12길 89 102~105호 (상일동 리엔타운),서울특별시 강동구 상일동 528 리엔타운,02-6447-7575,215195.629177217,450482.40109929,09:30,22:00,OPEN,늘 그 자리에서 반려동물과 보호자의 곁을 지키겠습니다.,11,,,https://www.neulamc.co.kr/,강동구,1,영업/정상,2026-04-17 14:33:54,2026-05-07 22:03:39,,,내과/외과,내과/외과,김태우,https://www.neulamc.co.kr/,2027.07.07,,
12,,마포아이뷰 안과동물병원,서울특별시 마포구 토정로31길 12 2층 (용강동),서울특별시 마포구 용강동 179,02-6952-7526,194846.214072081,448803.139538176,09:30,18:30,OPEN,안녕하세요 저희 마포동물병원 아이뷰안과동물병원은 안과 특화 동물병원으로 정밀 안과검사를 통해 질환 조기에 발견하고 치료합니다.,12,,,https://www.iview2026.com/,마포구,1,영업/정상,2026-04-21 18:05:24,2026-05-11 22:46:56,12:30-13:30,,,안과,박상현,https://www.iview2026.com/,2026-07-08,,
13,,강서늘봄동물병원,서울특별시 강서구 화곡로 277 경일빌딩 1층 (화곡동),서울특별시 강서구 화곡동 986-16 경일빌딩,02-6951-1575,186435.657737883,449713.364048961,00:00,24:00,OPEN,24시 동물의료센터 출신 의료진이 진료하는 강서구 동물병원입니다. 365일 주 7일 진료로 평일 뿐 아니라 주말에도 편하게 내원하실 수 있습니다.,13,,,https://www.instagram.com/neulbomah,강서구,1,영업/정상,2026-04-10 10:38:37,2026-05-09 22:02:20,13:00-14:00,,피부과/내과/안과/치과/예방의학과/이비인후과/비뇨기과/외과/정형외과,피부과/내과/안과/치과/예방의학과/이비인후과/비뇨기과/외과/정형외과,정재우,https://www.instagram.com/neulbomah,2026-07-08,,
14,,차오름동물병원,서울특별시 마포구 마포대로 208 효성인텔리안 106호 (아현동),서울특별시 마포구 아현동 733 효성인텔리안,02-706-7975,196116.359505276,450027.068949628,10:00,19:00,OPEN,차오름동물병원은 토끼 전문 진료로 유명하며 원장님이 토끼에 대한 깊은 애정과 전문성을 바탕으로 열정적으로 설명해줍니다. 예약 없이 방문해도 대기 시간이 짧고 과잉 진료 없이 근거 기반의 상세한 상담과 수술을 진행합니다. 사람에게는 다소 차갑게 느껴질 수 있으나 동물에게는 매우 친절하며 영문 자료까지 제시하며 신뢰를 줍니다. 먼 거리에서도 안심하고 맡길 수 있는 곳으로 평가받습니다.,14,,,https://meongsiljang.com/ko/places/9981a8da0a,마포구,1,영업/정상,2026-04-23 17:48:45,2026-05-11 22:46:56,,일요일,,,,https://meongsiljang.com/ko/places/9981a8da0a,2026-07-08,토끼,
15,,엠에스동물안과병원,서울특별시 서초구 강남대로 487 원빌딩 1층 (반포동),서울특별시 서초구 반포동 737-18 원빌딩,02-6925-1396,201997.65513961,444838.539761233,10:00,19:00,OPEN,내 아이의 눈 가장 전문적인 손길이 필요합니다. 소중한 반려동물의 세상을 더 밝고 선명하게 지켜드리는 MS동물안과입니다.,15,,,https://www.mseye-amc.co.kr/,서초구,1,영업/정상,2026-04-16 09:26:39,2026-05-10 23:01:30,13:00-14:00,,안과2,안과,장지영,https://www.mseye-amc.co.kr/,2026-07-07,안과전문,
16,,클레어 동물병원,서울특별시 서초구 잠원로8길 25 2층 212호 (잠원동),서울특별시 서초구 잠원동 57-20 212호,02-6952-7505,200958.810528572,445792.191399183,10:00,20:00,OPEN,다양한 진료 경험과 첨단 의료 장비를 바탕으로 아이에게 꼭필요한 진료를 정확하고 꼼꼼하게 제공합니다.,16,,,https://www.claireac.com/,서초구,1,영업/정상,2026-03-24 09:26:45,2026-05-10 23:01:30,13:00-14:00,,,내과/외과/치과,최봉호,https://www.claireac.com/,2026-07-07,,
17,,클라리티 동물치과병원,서울특별시 강남구 학동로 208 용문빌딩 2층 202호 (논현동),서울특별시 강남구 논현동 208 용문빌딩 2층 202호,02-2038-7889,202746.211734134,445749.051682872,10:00,22:00,OPEN,14년 경력의 현직 치과의사 개원의이자 수의사인 대표원장이 직접 진료하며 정밀 진단을 바탕으로 보존 치료부터 고난도 치과수술까지 체계적으로 진료합니다.,17,,,https://www.clarity-vetdental.kr/,강남구,1,영업/정상,2026-04-28 09:32:34,2026-04-29 03:03:03,13:00-14:00/17:00-18:00,목/금,치과,치과,김국현,https://www.clarity-vetdental.kr/,2026-07-07,,
18,,아스펜동물의료센터,서울특별시 송파구 올림픽로 393 잠실래미안아이파크상가 306~307호 (신천동),서울특별시 송파구 신천동 20-4,02-6953-3339,209720.290631496,446244.350393389,09:30,18:30,OPEN,반려동물은 조건 없이 우리에게 사랑을 건네는 존재입니다. 그저 함께 있는 순간만으로 우리는 사랑받는 존재임을 깨닫습니다.,18,,,https://blog.naver.com/aspen_amc,송파구,1,영업/정상,2026-03-27 18:05:19,2026-05-02 22:44:24,13:00-14:00,수/일,내과/외과/심장과,내과/외과/심장과,연규덕/최진영,https://blog.naver.com/aspen_amc,2027.07.08,,
19,,브라이튼안과치과동물병원,서울특별시 양천구 신월로 338 태성빌딩 3층 (신정동),서울특별시 양천구 신정동 1026-1,02-2039-0039,187415.922905255,446600.184140953,10:00,19:00,OPEN,브라이튼은 안과와 치과 삶의 질과 직결된 두 가지 전문 분야에 집중하는 심화 진료 동물병원입니다.,19,,,https://blog.naver.com/brightenvet,양천구,1,영업/정상,2026-03-06 13:02:51,2026-05-07 22:02:41,13:00-14:00,금/토,안과,안과,류연제,https://blog.naver.com/brightenvet,2027.07.08,안과 전문,
20,,반포베이스 동물의료센터,서울특별시 서초구 사평대로18길 10 부림빌딩 1층 102호 (반포동),서울특별시 서초구 반포동 107-45 부림빌딩 1동 102호,02-6953-0071,199540.058557374,444026.800198634,09:30,19:00,OPEN,외과박사의 재활 미국 CVA 침치료 변동 서울대 피부과/반포 유일 오로레이저 변동 고난이도 종양 정형 신경 수술 변동,20,,,https://m.place.naver.com/pet/2099137054/home,서초구,1,영업/정상,2026-02-25 10:34:09,2026-05-10 23:01:30,13:00-14:00,무휴,2,내과/외과/피부과/안과,권재연,https://m.place.naver.com/pet/2099137054/home,2026-07-07,,
21,,에르동물의료센터,서울특별시 강남구 언주로 415 유일 빌딩 1층 (역삼동),서울특별시 강남구 역삼동 721-37 유일 빌딩,0507-1425-4302,203782.829943718,444198.180003259,10:00,24:00,OPEN,말 못 하는 아이들의 마음까지 헤아리는 에르동물의료센터,21,,,https://blog.naver.com/eramc247,강남구,1,영업/정상,2026-01-15 13:08:32,2026-01-16 22:02:00,13:00-14:00,수,영상의학과/마취통증의학과,영상의학과/마취통증의학과,오동현,https://blog.naver.com/prologue/PrologueList.naver?blogId=eramc247,2026-07-07,,
22,,잠실바른눈안과동물병원,서울특별시 송파구 삼학사로 67 상구빌딩 2층 (삼전동),서울특별시 송파구 삼전동 132-6 상구빌딩 2층,02-2039-2119,208488.63100076,444574.426119412,09:30,18:00,OPEN,근거 중심의 올바른 진료로 반려동물의 바른 눈을 지키는 잠실바른눈안과동물병원입니다 :),22,,,http://animaleyeclinic.co.kr/,송파구,1,영업/정상,2026-02-13 10:04:07,2026-05-02 22:44:24,12:30-13:30,월,안과/마취과,안과/마취과,성현우,http://animaleyeclinic.co.kr/,2027.07.08,안과 전문,
23,,서울행운동물병원,서울특별시 관악구 남부순환로 1895 2층 (봉천동),서울특별시 관악구 봉천동 1680-11,02-2088-6259,196409.202870272,441837.788616059,09:30,19:00,OPEN,서울시 관악구 행운동에 위치한 서울행운동물병원입니다. 반려동물의 상태를 정확히 진단하고 보호자님과 충분히 소통하며 아이들의 삶의 질을 높이는 진료를 지향합니다. 고양이 스트레스를 줄이기 위한 고양이 전용 공간을 운영하며 건강검진 시 결과 파일을 제공해드립니다.,23,,,https://www.instagram.com/luckyamc1895,관악구,1,영업/정상,2026-01-15 11:11:55,2026-05-08 22:40:52,13:00-14:00,수요일,내과/외과,내과/외과,이승영,https://www.instagram.com/luckyamc1895,2026-07-08,,
24,,동물병원 산책: 내과/외과/재활센터,서울특별시 은평구 서오릉로 9 서운빌딩 102 103호 (응암동),서울특별시 은평구 응암동 84-1 서운빌딩 102 103호,02-2088-4531,193425.18186685,455537.043261083,10:00,21:00,OPEN,동물병원 산책은 빠른 결정이 아닌 정확한 판단을 바탕으로 아이의 치료와 회복을 끝까지 책임집니다.,24,,,https://blog.naver.com/walkingamc,은평구,1,영업/정상,2026-02-03 13:20:51,2026-02-04 22:32:00,13:00-14:00,,내과/외과/정형외과/피부과/영상의학과,내과/외과/정형외과/피부과/영상의학과,,https://blog.naver.com/walkingamc,2026-07-08,,
25,,THE허그동물의료센터,서울특별시 송파구 올림픽로 366 201호 (방이동 파라다이스빌잠실),서울특별시 송파구 방이동 40 파라다이스빌잠실 201호,02-2202-2025,209725.556146719,446039.346355569,10:00,22:00,OPEN,THE허그동물의료센터가 보호자 분들과 번려동물 옆에서 사랑으로 치유하며 따뜻하게 위로하겠습니다.,25,,,http://hugamc.com/,송파구,1,영업/정상,2026-01-05 11:26:48,2026-05-02 22:44:24,,,내과/외과/안과/피부과/정형외과,내과/외과/안과/피부과/정형외과,백승현/정성윤,http://hugamc.com/,2027.07.08,고양이 전문,
26,,마곡준동물병원,서울특별시 강서구 수명로 82 발산로얄타워 202호 (내발산동),서울특별시 강서구 내발산동 750 발산로얄타워,02-2666-2611,184596.054749491,450145.997297011,10:00,19:30,OPEN,마곡 발산 우장산 부근의 고양이와 강아지를 책임집니다. 치료는 물론 예방(건강검진)까지 세심하게 실시합니다.,26,,,https://blog.naver.com/mgjoon_ah,강서구,1,영업/정상,2026-05-08 10:20:36,2026-05-09 03:03:03,12:00-13:00,일요일,내과/외과/치과/안과,내과/외과/치과/안과,김형준,https://blog.naver.com/mgjoon_ah,2026-07-08,,
27,,하이디고양이병원,서울특별시 마포구 성미산로1길 50 (성산동),서울특별시 마포구 성산동 258-8,0507-1450-4502,191745.63348846,450871.313112954,10:00,19:00,OPEN,하이디고양이병원은 구내염 및 치과 수술 전문으로 원장님과 간호사들이 예민한 고양이도 어루만지며 편안하게 치료해줍니다. 따뜻한 병원 분위기와 정성스러운 치료로 수술 후 빠른 회복을 경험할 수 있으며 퇴원 시 애정 어린 사진 선물도 제공합니다. 다만 발치 수술 예약이 한 달 이상 꽉 차 있을 수 있으니 먼 거리에서 방문하시는 보호자들은 미리 예약을 확인하는 것이 좋습니다.,27,,,https://meongsiljang.com/ko/places/9315268c5c,마포구,1,영업/정상,2025-12-24 16:10:24,2026-05-11 22:46:56,,월요일,,,,,2026-07-08,고양이 / 홈페이지불명확,
28,,정든동물병원,서울특별시 은평구 수색로 200 1층 120 130호 (증산동 DMC센트럴자이),서울특별시 은평구 증산동 258 DMC센트럴자이,02-306-9990,191337.27325892,453194.537663327,10:00,21:00,OPEN,소중한 내 아이의 건강을 위하여 그 무엇과도 타협하지 않고 오직 최고만을 고집하는 정든동물병원입니다 :),28,,,https://blog.naver.com/jd_ah,은평구,1,영업/정상,2026-04-21 13:36:56,2026-04-24 23:07:29,13:00-14:00,화,내과/외과/치과/정형외과/신경외과,내과/외과/치과/정형외과/신경외과,김전모,https://blog.naver.com/jd_ah,2026-07-08,,
29,,노원온동물병원,서울특별시 노원구 노원로 456 백암빌딩 1층 (상계동),서울특별시 노원구 상계동 371-2 백암빌딩,02-6953-1445,205811.254840779,461684.988590888,09:30,22:00,OPEN,따뜻할 온(溫) 늘 열려있는 온(ON) 정직한 진료와 따뜻한 마음으로 보호자와 반려동물 모두가 신뢰할수 있는 진료를 목표로 합니다. '온(溫)'은 따뜻함과 진심을 'ON'은 언제나 열려있는 마음과 소통을 의미합니다. 저희 병원은 단순히 질병을 치료하는 곳이 아니라 반려 가족의 일원으로 항상 진료를 고민하고 늘 공감하는 병원이 되고자 합니다.,29,,,https://nowonon.imweb.me/,노원구,1,영업/정상,2025-10-23 13:50:52,2026-05-11 22:47:50,,,피부과/내과/안과/치과/예방의학과/이비인후과/비뇨기과/외과/정형외과/산과,피부과/내과/안과/치과/예방의학과/이비인후과/비뇨기과/외과/정형외과/산과,권지혜,https://nowonon.imweb.me/,2026-07-08,,
30,,Severance AMC,서울특별시 광진구 천호대로 512 군자빌딩 b층 02호 (군자동),서울특별시 광진구 군자동 466-17 군자빌딩,,206582.005887061,450685.591302855,,,OPEN,,30,,,,광진구,1,영업/정상,2025-10-17 09:55:01,2026-05-08 22:46:01,,,,,,,,,,,
31,,한국영양전문동물병원,서울특별시 송파구 법원로4길 6 문정 아이파크 214호 (문정동),서울특별시 송파구 문정동 652-5 문정 아이파크 214호,02-6952-8275,,,10:00,19:00,OPEN,한국영양전문동물병원입니다. 일반 진료는 하지 않고 아이들의 영양상담만 100% 예약제로 운영하고 있습니다.,31,,,https://blog.naver.com/kvnc1,송파구,1,영업/정상,2025-10-13 10:24:58,2026-05-02 22:44:24,,월/화,영양상담,,,https://blog.naver.com/kvnc1,2027.07.08,영양제 전문,
32,,서울 알레르기 동물병원,서울특별시 강동구 양재대로 1581 1층 (천호동),서울특별시 강동구 천호동 34-8,02-2039-8075,212560.273562282,449402.916124208,09:00,18:30,OPEN,매번 다시 시작되는 우리 아이의 가려움 서울 알레르기 동물병원은 원인부터 치료합니다.,33,,,http://seoulallergy.co.kr/,강동구,1,영업/정상,2025-09-29 17:39:47,2026-05-07 22:03:39,13:30-14:30,일,피부과,피부과,양창윤,http://seoulallergy.co.kr/,2027.07.07,,
33,,위례따숨동물병원,서울특별시 송파구 위례광장로 136 3동 C112호 (장지동 위례아이파크),서울특별시 송파구 장지동 894 위례아이파크 3동 C112호,02-400-8820,212494.327675839,441590.062253247,10:00,19:00,OPEN,아픈 아이를 안고 발을 동동 구르던 보호자의 마음 그 마음을 누구보다 잘 알기에 따숨은 '진심'을 다해 진료합니다.,33,,,https://blog.naver.com/ttasoomcare,송파구,1,영업/정상,2026-02-20 10:17:05,2026-05-02 22:44:24,13:00-14:00,일,내과/외과/안과/피부과/정형외과,내과/외과/안과/피부과/정형외과,강수현,https://blog.naver.com/ttasoomcare,2027.07.08,심장 전문,
34,,24시 데이원 동물의료센터,서울특별시 동작구 동작대로 151 (사당동),서울특별시 동작구 사당동 84-5,02-591-7555,198352.130093385,443101.215612197,00:00,24:00,OPEN,안녕하세요. 365일 24시간 반려동물의 건강을 지키는 24시데이원동물의료센터입니다. - 건국대학교 & 2차 병원 출신 의료진 24시간 상시 진료 - 365일 연중무휴 100평규모 동물의료센터 -응급&일반외과&정형외과 -메인 수술실/치과 치료실 분리 세팅 -대학 병원급 최신 의료 장비 보유/중증 심화 질환 진단 및 치료 -20여개 이상의 입원실과 중증환자 케어시설 세팅 -강아지/고양이 대기&진료&입원실 분리 -ISFM 고양이 친화병원 최고레벨(골드) 인증 우리 아이라는 생각으로 정성을 다해 진료하겠습니다.,34,,,https://blog.naver.com/24dayoneamc,동작구,1,영업/정상,2025-09-17 11:11:28,2026-05-03 22:39:07,,,5,외과/중증/치과,홍은기,https://blog.naver.com/24dayoneamc,2026-07-08,고양이친화,
35,,온숲 영상·외과 동물의료센터,서울특별시 강남구 도곡로 241 3 4층 (역삼동),서울특별시 강남구 역삼동 786-16,02-6951-5324,203896.530084243,443529.733928528,00:00,24:00,OPEN,365일 24시간 반려동물의 건강을 지키는 든든한 주치의,37,,,https://blog.naver.com/PostList.naver?from=postList&blogId=onsoop24&categoryNo=5&parentCategoryNo=5&currentPage=2,강남구,1,영업/정상,2025-09-09 19:29:24,2025-12-15 16:15:28,,,내과/외과,내과/외과,,https://blog.naver.com/PostList.naver?from=postList&blogId=onsoop24&categoryNo=5&parentCategoryNo=5&currentPage=2,2026-07-07,,
36,,24시 온숲 동물의료센터,서울특별시 강남구 도곡로 241 1 2층 (역삼동),서울특별시 강남구 역삼동 786-16,02-6951-5324,203896.530084243,443529.733928528,00:00,24:00,OPEN,365일 24시간 반려동물의 건강을 지키는 든든한 주치의,37,,,https://blog.naver.com/PostList.naver?from=postList&blogId=onsoop24&categoryNo=5&parentCategoryNo=5&currentPage=2,강남구,1,영업/정상,2026-02-27 09:52:26,2026-02-28 22:02:01,,,내과/외과,내과/외과,,https://blog.naver.com/PostList.naver?from=postList&blogId=onsoop24&categoryNo=5&parentCategoryNo=5&currentPage=2,2026-07-07,,
37,,별빛동물병원,서울특별시 노원구 덕릉로127길 25 104호 (상계동 불암산센트럴아파트),서울특별시 노원구 상계동 1320 불암산센트럴아파트,,,207098.659548494,463287.58273428,,,OPEN,,37,,,,노원구,1,영업/정상,2025-07-16 10:27:58,2026-05-11 22:47:50,,,,,,,,,,2026-07-08,,
38,,용산마음동물병원,서울특별시 용산구 백범로 340 2층 (원효로2가),서울특별시 용산구 원효로2가 1-36,02-711-7580,196979.093087733,448380.524209959,10:00,20:00,OPEN,정밀함과 안전함을 보장하는 최고 수준의 장비. 환자를 먼저 생각하는 신중한 상담과 진료를 보장합니다.,38,,,https://blog.naver.com/rkwmn67022,용산구,1,영업/정상,2025-07-31 10:02:44,2025-12-15 16:15:28,,,내과/외과,내과/외과,김지윤/김현진,https://blog.naver.com/rkwmn67022,2026-07-08,애견 호텔,
39,,동물병원 숲,서울특별시 강서구 마곡서1로 132 상가동 101호 (마곡동 마곡엠밸리3단지),서울특별시 강서구 마곡동 736 마곡엠밸리3단지,02-6954-7533,184039.446537083,451777.675326573,10:00,20:00,OPEN,반려동물과 보호자 모두가 편안하게 머물 수 있는 따뜻한공간 17년차 원장의 꼼꼼한 진료 자연을 닮은 마음 서울 강서구 마곡엠밸리 3단지 근처에서 소중한 가족을 위한 진료 숲처럼 포근하고 정직하게 동물병원숲이 함께 하겠습니다,39,,,https://blog.naver.com/ah_forest,강서구,1,영업/정상,2025-07-01 18:35:30,2026-05-09 22:02:20,13:00-14:00,일요일,내과/외과,내과/외과,,https://blog.naver.com/ah_forest,2026-07-08,,
40,,미사랑동물병원,서울특별시 강동구 고덕로14길 61 1층 (암사동),서울특별시 강동구 암사동 469-2,010-7253-7582,211524.201721477,449971.203655506,,,OPEN,온 마음을 다해 진료합니다.,32,,,https://www.instagram.com/misaranghp,강동구,1,영업/정상,2025-06-30 13:48:00,2026-05-07 22:03:39,,,,미용,미용,,https://www.instagram.com/misaranghp,2027.07.07,,
41,,오복동물치과병원,서울특별시 마포구 독막로 257 1층 (대흥동),서울특별시 마포구 대흥동 405-4,02-711-2876,194822.363341535,449344.730012139,09:30,18:00,OPEN,강아지 고양이 치과 병원 '오복동물치과병원' 입니다.,41,,,https://blog.naver.com/snap1727,마포구,1,영업/정상,2026-05-20 14:37:23,2026-05-21 03:03:03,13:00-14:00,일요일,,치과,이성혁,https://blog.naver.com/snap1727,2026-07-08,강아지치과 고양이정보부족,
42,,반려담동물병원,서울특별시 강남구 봉은사로44길 61 2층 (역삼동),서울특별시 강남구 역삼동 690-11 2층,0507-1375-0802,203679.445613252,444841.09782076,10:00,20:00,OPEN,우리 아이의 평생 주치의 반려담 동물병원 입니다. 수술전문/내과전문(심장 신장 내분비)/건강검진전문,42,,,https://blog.naver.com/brdamah,강남구,1,영업/정상,2025-06-12 16:27:08,2025-12-15 16:15:28,13:00-14:00,목,,내과/외과/건강검진,박동민,https://blog.naver.com/PostList.naver?blogId=brdamah&from=postList&categoryNo=10,2026-07-07,,
